University,Course,Category,Location,Fees,Link
University of Cinncinati,MIS,AMBI ,ohio,45000,https://business.uc.edu/academics/specialized-masters/information-systems/program-details.html
University of Maryland,MSBA ,MOD,Maryland,67000,https://app.applyyourself.com/common/fl_ApplicantLogout.asp?CID=1058&ID=rhsmith&d=2%2F22%2F2020+10%3A17%3A22+AM&AYID=B1C79B2-6E68-4782-A709-0E0F3FBC1FC
UIUC,MIS,AMBI,Chicago,51000,https://choose.illinois.edu/apply/frm?c2cbd96d-d31f-461a-92fb-1f8dfb1ffed0
UT Dallas,MSBA,SAFE,Dallas,49000,https://utdallasapp.force.com/TargetX_Portal__PB
University of South Florida,MSBA,SAFE,Florida,34000,https://secure.vzcollegeapp.com/usf/default.aspx?cid=87&ltid=1
UConneticut,MSBA,AMBI,Conneticut,39000,https://connect.grad.uconn.edu/apply/per
Oklahoma State University,MIS,SAFE,Oklahoma,33000,https://gradcollege.okstate.edu/apply/
UIC,MIS,MOD,Chicago,67000,https://business.uic.edu/graduate-programs/graduate-degrees/master-science-management-information-systems/
